Name,Description,Price,Image URL,Product URL
"N701 soffa 3-sits
Tyg blue",N701 soffa 3-sits från Ethnicraft har en inbjudande design som utstrålar komfort och avkoppling. 3-sitssoffan N701 kan antingen användas som en fristående möbel eller byggas ut med valfria delar ut N701-serien för att skapa en modulsoffa som passar ditt hem och dina behov.,24 863 kr,https://www.nordicnest.se/assets/blobs/ethnicraft-n701-soffa-3-sits-tyg-blue/n701-3-sits-4ec86e45e8.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/ethnicraft-nv/n701-soffa/?variantId=530633-01
"ZigZag soffa
Ek oljad",ZigZag soffa från Hans K är en modern pinnsoffa i massivt trä formgiven av Markus Johansson. Placeringen av pinnarna i ryggstödet ger träsoffan ett grafiskt och modernt uttryck.,8 545 kr,https://www.nordicnest.se/assets/blobs/hans-k-zigzag-soffa-ek-oljad/582099-01_1_ProductImageMain-e464cab527.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/hansk/zigzag-soffa/?variantId=582099-01
"N701 soffa 3-sits
Moss Eco fabric",N701 soffa 3-sits från Ethnicraft har en inbjudande design som utstrålar komfort och avkoppling. 3-sitssoffan N701 kan antingen användas som en fristående möbel eller byggas ut med valfria delar ut N701-serien för att skapa en modulsoffa som passar ditt hem och dina behov.,24 004 kr,https://www.nordicnest.se/assets/blobs/ethnicraft-n701-soffa-3-sits-moss-eco-fabric/589361-01_1_ProductImageMain-aa2cc4d1e5.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/ethnicraft-nv/n701-soffa/?variantId=589361-01
"Inland AV23 3-sits soffa
Clay 0011-polished aluminium","Inland AV23 3-sits soffa från &Tradition är skapad av Torbjørn Anderssen och Espen Voll med fokus på överlägsen komfort inom en tydligt definierad arkitektonisk ram. Den låga formen, djupa sittytan och höga armstöden ger Inland AV23 en inbjudande känsla. Stålbasen ger soffan en svävande karaktär, i linje med skaparnas vision. Inland AV23 soffan kombinerar komfort och stil på ett elegant sätt.",41 858 kr,https://www.nordicnest.se/assets/blobs/tradition-inland-av23-3-sits-soffa-clay-0011-polished-aluminium/587767-01_1_ProductImageMain-2900a667a9.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/tradition/inland-av23-3sits-soffa/?variantId=587767-01
"Outline soffa 3-sits läder
Cognac-svarta ben","Outline soffa 3-sits läder är en del av Muutos Outline-serie, designad av Anderssen & Voll. Soffan är tillverkad av aluminium, trä, stål och läder med en pulverlackerad finish. Den har en djup sittplats och mjuka kuddar fyllda med kallskum och fjäder. Soffans linjer och kurviga armstöd refererar till arkitektoniska former, vilket ger den ett distinkt utseende.",47 995 kr,https://www.nordicnest.se/assets/blobs/muuto-outline-soffa-3-sits-lader-cognac-svarta-ben/28162-01-01-208a9bab84.jpg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/muuto/outline-soffa-3-sits-lader/?variantId=28162-01
"Stay dagbädd
tyg grå, stomme i oljad ek",Stay dagbädd från A2 är designad av Sara Larsson och är den perfekta kombinationen av komfort och elegans. Med vackra läderdetaljer blir den en tidlös möbel som ser fantastisk ut i alla rum. Den inkluderar ett litet sidobord som kompletterar dagbädden och skapar en inbjudande reträtt för avkoppling.,29 500 kr,https://www.nordicnest.se/assets/blobs/a2-stay-dagbadd-tyg-gra-stomme-i-oljad-ek/stay-oljad-gr%C3%A5-58ac1f598c.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/a2/stay-dagbadd/?variantId=554518-01
"Sjövik 3-sits soffa
Bern 0348 Grå","Sjövik 3 sits soffa från svenska 1898 är en soffa uppbyggd på trästomme och sits med nozagfjädring, vilket ger maximal komfort. Soffans tre lösa ryggkuddar gör den dessutom ännu skönare!",20 980 kr,https://www.nordicnest.se/assets/blobs/1898-sjovik-3-sits-soffa-bern-0348-gra/513278-01_1_ProductImageMain-4c1e427337.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/sjovik-3-sits-soffa/?variantId=513278-01
"Stay dagbädd
tyg grå, stomme i vitoljad ek",Stay dagbädd från A2 är designad av Sara Larsson och är den perfekta kombinationen av komfort och elegans. Med vackra läderdetaljer blir den en tidlös möbel som ser fantastisk ut i alla rum. Den inkluderar ett litet sidobord som kompletterar dagbädden och skapar en inbjudande reträtt för avkoppling.,29 500 kr,https://www.nordicnest.se/assets/blobs/a2-stay-dagbadd-tyg-gra-stomme-i-vitoljad-ek/stay-vitoljad-gr%C3%A5-ed90e6fec6.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/a2/stay-dagbadd/?variantId=554522-01
"N701 hörnmodul rundad 90°
Tyg dark grey","N701 hörnmodul rundad från Ethnicraft är klädd i ett mjukt tyg och inbjuder till avkoppling med sin omslutande form. Den är en del av den modulära N701-serien, vilket gör det enkelt att skapa en personlig och flexibel sittgrupp. Med sina rundade linjer ger den ett mjukt intryck och bidrar till en harmonisk atmosfär. Perfekt för att forma en välkomnande loungemiljö där komfort och stil går hand i hand.",14 688 kr,https://www.nordicnest.se/assets/blobs/ethnicraft-n701-hornmodul-rundad-90-tyg-dark-grey/N701-hornrund-dark-grey-5d4a565c28.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/ethnicraft-nv/n701-hornmodul-rundad/?variantId=530598-01
"Bredhult 3 sits soffa metallben
Jump 1959 Honey","Bredhult 3 sits soffa metallben från svenska 1898 är en soffa som finns i flera utföranden uppbyggd på trästomme, en sits med nozagfjädring och metallben. Två matchande, vändbara ryggkuddar samt två mindre kuddar medföljer.",27 490 kr,https://www.nordicnest.se/assets/blobs/1898-bredhult-3-sits-soffa-metallben-jump-1959-honey/513246-01_1_ProductImageMain-58c55eab5b.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/bredhult-3-sits-soffa-metallben/?variantId=513246-01
